Geography,Age_Group,Disease,2018,2019,2020,2021,2022,2023
Aberdeen City,Ages15to24,Epilepsy,335.4,335.4,319.8,288.6,312.0,319.8
Aberdeen City,Ages15to24,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Hypertension,23.4,23.4,15.6,7.8,23.4,23.4
Aberdeen City,Ages15to24,Mental Health,85.8,85.8,93.6,85.8,109.2,85.8
Aberdeen City,Ages15to24,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages15to24,Rheumatoid Arthritis,0.0,0.0,0.0,7.8,0.0,0.0
Aberdeen City,Ages15to24,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Asthma,1697.7,1696.6,1844.7,1773.7,1703.2,1728.6
Aberdeen City,Ages25to44,Atrial Fibrillation,8.1,5.4,2.7,10.8,16.3,10.8
Aberdeen City,Ages25to44,Cancer,173.6,173.6,187.1,200.7,198.0,206.1
Aberdeen City,Ages25to44,Chronic Kidney Disease (CKD),16.3,21.7,21.7,21.7,16.3,35.3
Aberdeen City,Ages25to44,Chronic Obstructive Pulmonary Disease (COPD),13.6,8.1,16.3,13.6,16.3,19.0
Aberdeen City,Ages25to44,Coronary Heart Disease (CHD),21.7,24.4,21.7,27.1,19.0,29.8
Aberdeen City,Ages25to44,Dementia,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Depression,2394.7,2391.5,2410.4,2396.3,2377.4,2368.7
Aberdeen City,Ages25to44,Diabetes,381.9,376.4,387.8,416.6,429.0,489.8
Aberdeen City,Ages25to44,Eating Disorder,246.3,248.4,243.5,247.3,252.2,271.2
Aberdeen City,Ages25to44,Epilepsy,393.8,398.7,404.1,398.7,422.0,419.8
Aberdeen City,Ages25to44,Heart Failure,2.7,2.7,2.7,5.4,8.1,5.4
Aberdeen City,Ages25to44,Hypertension,455.1,474.1,492.5,496.3,522.3,581.5
Aberdeen City,Ages25to44,Mental Health,233.2,238.7,246.8,238.7,254.4,287.5
Aberdeen City,Ages25to44,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages25to44,Rheumatoid Arthritis,13.6,19.0,24.4,40.7,29.8,46.1
Aberdeen City,Ages25to44,Stroke and TIA,24.4,27.1,24.4,24.4,19.0,21.7
Aberdeen City,Ages45to64,Asthma,2407.8,2455.3,2601.0,2571.3,2502.2,2594.3
Aberdeen City,Ages45to64,Atrial Fibrillation,271.2,286.1,282.4,282.4,315.8,327.0
Aberdeen City,Ages45to64,Cancer,1185.3,1221.0,1276.0,1255.2,1257.4,1261.9
Aberdeen City,Ages45to64,Chronic Kidney Disease (CKD),356.0,377.5,367.1,357.5,344.8,396.8
Aberdeen City,Ages45to64,Chronic Obstructive Pulmonary Disease (COPD),706.0,746.9,779.6,737.2,701.5,689.6
Aberdeen City,Ages45to64,Coronary Heart Disease (CHD),945.3,961.6,985.4,1012.2,1004.0,995.8
Aberdeen City,Ages45to64,Dementia,14.9,11.1,7.4,22.3,11.1,14.9
Aberdeen City,Ages45to64,Depression,3339.7,3474.9,3535.1,3555.2,3624.3,3573.0
Aberdeen City,Ages45to64,Diabetes,1992.4,2039.2,2120.2,2157.3,2251.7,2353.5
Aberdeen City,Ages45to64,Eating Disorder,193.2,215.5,234.8,223.7,234.8,237.8
Aberdeen City,Ages45to64,Epilepsy,561.8,587.8,599.7,603.4,600.5,590.1
Aberdeen City,Ages45to64,Heart Failure,159.8,144.9,163.5,167.2,204.4,196.9
Aberdeen City,Ages45to64,Hypertension,4886.2,4925.5,4903.2,4794.0,4854.9,4970.1
Aberdeen City,Ages45to64,Mental Health,408.7,463.0,489.7,500.9,510.5,505.3
Aberdeen City,Ages45to64,Osteoporosis,14.9,11.1,11.1,11.1,3.7,3.7
Aberdeen City,Ages45to64,Palliative Care,18.6,22.3,22.3,18.6,26.0,26.0
Aberdeen City,Ages45to64,Peripheral Arterial Disease (PAD),189.5,193.2,185.8,170.9,170.9,159.8
Aberdeen City,Ages45to64,Rheumatoid Arthritis,249.0,252.7,226.7,234.1,219.2,219.2
Aberdeen City,Ages45to64,Stroke and TIA,468.9,486.8,486.8,510.5,512.8,486.0
Aberdeen City,Ages5to14,Asthma,1203.0,1153.3,1254.6,1021.8,989.8,977.4
Aberdeen City,Ages5to14,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Cancer,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Dementia,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Depression,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Diabetes,62.2,88.9,71.1,71.1,44.4,44.4
Aberdeen City,Ages5to14,Eating Disorder,0.0,0.0,8.9,0.0,8.9,0.0
Aberdeen City,Ages5to14,Epilepsy,151.0,142.2,151.0,142.2,159.9,151.0
Aberdeen City,Ages5to14,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Hypertension,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Mental Health,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages65to74,Asthma,2113.2,2271.3,2398.9,2532.6,2477.9,2615.7
Aberdeen City,Ages65to74,Atrial Fibrillation,1290.6,1377.7,1454.7,1547.9,1501.3,1552.0
Aberdeen City,Ages65to74,Cancer,2964.2,3154.6,3355.2,3478.8,3509.2,3450.4
Aberdeen City,Ages65to74,Chronic Kidney Disease (CKD),2111.2,2184.1,2101.1,2129.4,1981.5,2054.5
Aberdeen City,Ages65to74,Chronic Obstructive Pulmonary Disease (COPD),2054.5,2113.2,2149.7,2169.9,2117.3,2097.0
Aberdeen City,Ages65to74,Coronary Heart Disease (CHD),3272.1,3314.7,3312.7,3381.6,3272.1,3197.2
Aberdeen City,Ages65to74,Dementia,263.4,273.5,283.7,293.8,283.7,253.3
Aberdeen City,Ages65to74,Depression,2297.6,2494.1,2668.4,2860.8,2943.9,3051.3
Aberdeen City,Ages65to74,Diabetes,3894.2,4046.1,4313.6,4493.9,4495.9,4572.9
Aberdeen City,Ages65to74,Eating Disorder,0.0,10.1,20.3,40.5,40.5,70.9
Aberdeen City,Ages65to74,Epilepsy,526.8,577.4,597.7,607.8,615.9,634.2
Aberdeen City,Ages65to74,Heart Failure,615.9,654.4,713.2,670.6,739.5,784.1
Aberdeen City,Ages65to74,Hypertension,10989.5,11279.3,11660.2,11941.8,11854.7,11721.0
Aberdeen City,Ages65to74,Mental Health,395.1,364.7,395.1,425.5,435.6,445.7
Aberdeen City,Ages65to74,Osteoporosis,91.2,101.3,91.2,101.3,91.2,70.9
Aberdeen City,Ages65to74,Palliative Care,141.8,131.7,152.0,111.4,121.6,111.4
Aberdeen City,Ages65to74,Peripheral Arterial Disease (PAD),798.3,800.3,816.5,818.5,786.1,763.8
Aberdeen City,Ages65to74,Rheumatoid Arthritis,385.0,374.8,445.7,486.3,496.4,486.3
Aberdeen City,Ages65to74,Stroke and TIA,1596.6,1699.9,1728.3,1799.2,1793.1,1857.9
Aberdeen City,Ages75to84,Asthma,2115.7,2199.4,2176.0,2102.3,2273.0,2360.1
Aberdeen City,Ages75to84,Atrial Fibrillation,2989.4,2996.1,3032.9,2959.3,3227.1,3270.6
Aberdeen City,Ages75to84,Cancer,4465.7,4579.5,4720.1,4693.4,5168.7,5306.0
Aberdeen City,Ages75to84,Chronic Kidney Disease (CKD),5707.7,5597.2,5359.5,4974.6,5249.1,5356.2
Aberdeen City,Ages75to84,Chronic Obstructive Pulmonary Disease (COPD),2494.0,2648.0,2644.6,2524.1,2584.4,2688.1
Aberdeen City,Ages75to84,Coronary Heart Disease (CHD),5356.2,5396.4,5168.7,4977.9,5178.8,5175.4
Aberdeen City,Ages75to84,Dementia,1827.8,1750.8,1720.7,1539.9,1479.6,1506.4
Aberdeen City,Ages75to84,Depression,1791.0,1807.7,1945.0,1975.1,2256.3,2353.4
Aberdeen City,Ages75to84,Diabetes,4623.1,4696.7,4847.3,4763.7,5071.6,5336.1
Aberdeen City,Ages75to84,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages75to84,Epilepsy,602.6,552.4,585.8,502.1,619.3,569.1
Aberdeen City,Ages75to84,Heart Failure,1262.1,1305.6,1302.2,1295.5,1396.0,1439.5
Aberdeen City,Ages75to84,Hypertension,14568.8,14712.8,14642.5,14431.6,15245.0,15770.6
Aberdeen City,Ages75to84,Mental Health,318.0,284.5,301.3,284.5,318.0,351.5
Aberdeen City,Ages75to84,Osteoporosis,706.3,669.5,626.0,549.0,555.7,535.6
Aberdeen City,Ages75to84,Palliative Care,441.9,485.4,435.2,348.2,334.8,334.8
Aberdeen City,Ages75to84,Peripheral Arterial Disease (PAD),1292.2,1285.5,1191.8,1178.4,1252.0,1265.4
Aberdeen City,Ages75to84,Rheumatoid Arthritis,552.4,535.6,552.4,585.8,585.8,636.0
Aberdeen City,Ages75to84,Stroke and TIA,2982.7,2942.6,2979.4,2922.5,3176.9,3210.4
Aberdeen City,Ages85plus,Asthma,1853.2,2124.4,1943.6,2034.0,1988.8,2079.2
Aberdeen City,Ages85plus,Atrial Fibrillation,5424.0,5604.8,5957.3,5848.9,6002.5,6038.7
Aberdeen City,Ages85plus,Cancer,5315.5,5731.3,6111.0,6020.6,6165.3,6318.9
Aberdeen City,Ages85plus,Chronic Kidney Disease (CKD),10061.5,10350.8,10242.3,10070.5,10278.4,10432.1
Aberdeen City,Ages85plus,Chronic Obstructive Pulmonary Disease (COPD),1916.5,2278.1,1988.8,2178.6,2115.3,2513.1
Aberdeen City,Ages85plus,Coronary Heart Disease (CHD),8063.6,8551.8,8362.0,8054.6,8063.6,7973.2
Aberdeen City,Ages85plus,Dementia,4962.9,5261.3,5207.0,4447.7,4981.0,4917.7
Aberdeen City,Ages85plus,Depression,1717.6,1672.4,1627.2,1762.8,1717.6,1717.6
Aberdeen City,Ages85plus,Diabetes,3932.4,4257.8,4483.8,4827.3,4990.1,5089.5
Aberdeen City,Ages85plus,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages85plus,Epilepsy,361.6,406.8,361.6,316.4,406.8,542.4
Aberdeen City,Ages85plus,Heart Failure,2196.7,2476.9,2594.5,2757.2,2992.2,2892.8
Aberdeen City,Ages85plus,Hypertension,17465.2,18396.3,18342.1,18613.3,18857.3,19237.0
Aberdeen City,Ages85plus,Mental Health,271.2,316.4,226.0,316.4,361.6,316.4
Aberdeen City,Ages85plus,Osteoporosis,1310.8,1383.1,1356.0,1139.0,1003.4,1021.5
Aberdeen City,Ages85plus,Palliative Care,1383.1,1563.9,1808.0,1582.0,1437.4,1500.6
Aberdeen City,Ages85plus,Peripheral Arterial Disease (PAD),1491.6,1744.7,1672.4,1582.0,1563.9,1527.8
Aberdeen City,Ages85plus,Rheumatoid Arthritis,406.8,497.2,406.8,452.0,406.8,587.6
Aberdeen City,Ages85plus,Stroke and TIA,5161.8,5396.9,5396.9,5324.5,5505.3,5650.0
Aberdeenshire,Ages0to4,Asthma,295.4,270.8,221.6,147.7,123.1,73.9
Aberdeenshire,Ages0to4,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Cancer,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Dementia,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Depression,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Diabetes,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Epilepsy,24.6,73.9,24.6,49.2,24.6,0.0
Aberdeenshire,Ages0to4,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Hypertension,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Mental Health,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Asthma,1725.7,1651.5,1755.8,1749.8,1515.0,1356.5
Aberdeenshire,Ages15to24,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Cancer,10.0,10.0,0.0,20.1,20.1,30.1
Aberdeenshire,Ages15to24,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Dementia,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Depression,1043.5,1043.5,1109.7,1059.5,1087.6,692.3
Aberdeenshire,Ages15to24,Diabetes,160.5,210.7,240.8,250.8,220.7,210.7
Aberdeenshire,Ages15to24,Eating Disorder,220.7,180.6,240.8,240.8,270.9,240.8
Aberdeenshire,Ages15to24,Epilepsy,371.2,321.1,311.0,311.0,361.2,331.1
Aberdeenshire,Ages15to24,Heart Failure,10.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Hypertension,10.0,10.0,10.0,10.0,10.0,0.0
Aberdeenshire,Ages15to24,Mental Health,20.1,40.1,50.2,50.2,50.2,50.2
Aberdeenshire,Ages15to24,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Stroke and TIA,0.0,0.0,0.0,0.0,10.0,10.0
Aberdeenshire,Ages25to44,Asthma,2315.5,2312.1,2508.1,2400.7,2299.3,1920.2
Aberdeenshire,Ages25to44,Atrial Fibrillation,4.3,17.0,25.6,21.3,25.6,17.0
Aberdeenshire,Ages25to44,Cancer,285.4,285.4,276.9,268.4,272.6,204.5
Aberdeenshire,Ages25to44,Chronic Kidney Disease (CKD),34.1,21.3,29.8,21.3,29.8,8.5
Aberdeenshire,Ages25to44,Chronic Obstructive Pulmonary Disease (COPD),0.0,17.0,17.0,12.8,17.0,12.8
Aberdeenshire,Ages25to44,Coronary Heart Disease (CHD),8.5,12.8,25.6,21.3,29.8,21.3
Aberdeenshire,Ages25to44,Dementia,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages25to44,Depression,2848.8,2928.0,2992.8,3072.0,3069.5,2433.9
Aberdeenshire,Ages25to44,Diabetes,473.7,454.9,512.0,489.0,512.9,448.1
Aberdeenshire,Ages25to44,Eating Disorder,369.7,357.8,353.5,335.7,354.4,300.7
Aberdeenshire,Ages25to44,Epilepsy,481.3,492.4,473.7,483.9,490.7,411.5
Aberdeenshire,Ages25to44,Heart Failure,8.5,8.5,17.0,12.8,12.8,0.0
Aberdeenshire,Ages25to44,Hypertension,596.3,561.4,578.5,552.9,591.2,523.1
Aberdeenshire,Ages25to44,Mental Health,200.2,217.2,225.8,251.3,231.7,213.0
Aberdeenshire,Ages25to44,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages25to44,Palliative Care,0.0,0.0,0.0,4.3,4.3,0.0
Aberdeenshire,Ages25to44,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages25to44,Rheumatoid Arthritis,51.1,51.1,42.6,46.9,46.9,42.6
Aberdeenshire,Ages25to44,Stroke and TIA,42.6,34.1,42.6,34.1,51.1,42.6
Aberdeenshire,Ages45to64,Asthma,2363.2,2417.1,2583.0,2604.3,2629.8,2294.4
Aberdeenshire,Ages45to64,Atrial Fibrillation,290.7,308.4,320.5,307.0,319.1,287.2
Aberdeenshire,Ages45to64,Cancer,1301.8,1331.6,1359.9,1329.4,1342.2,1173.5
Aberdeenshire,Ages45to64,Chronic Kidney Disease (CKD),386.4,429.0,375.1,375.1,366.6,304.9
Aberdeenshire,Ages45to64,Chronic Obstructive Pulmonary Disease (COPD),476.5,484.3,483.6,468.7,460.9,392.8
Aberdeenshire,Ages45to64,Coronary Heart Disease (CHD),933.8,933.1,940.9,902.6,941.6,799.1
Aberdeenshire,Ages45to64,Dementia,3.5,17.7,21.3,14.2,10.6,3.5
Aberdeenshire,Ages45to64,Depression,2924.8,3054.5,3139.6,3229.0,3321.8,2700.7
Aberdeenshire,Ages45to64,Diabetes,1872.6,1902.4,1969.7,1971.1,2027.9,1776.1
Aberdeenshire,Ages45to64,Eating Disorder,212.0,241.1,251.7,273.7,291.4,244.6
Aberdeenshire,Ages45to64,Epilepsy,541.7,538.9,550.2,544.5,551.6,466.5
Aberdeenshire,Ages45to64,Heart Failure,180.8,184.4,173.7,170.2,177.3,138.3
Aberdeenshire,Ages45to64,Hypertension,5032.8,5056.9,5129.2,4956.2,4931.4,4233.0
Aberdeenshire,Ages45to64,Mental Health,305.6,329.0,321.2,347.4,346.0,292.1
Aberdeenshire,Ages45to64,Osteoporosis,28.4,35.5,28.4,21.3,21.3,10.6
Aberdeenshire,Ages45to64,Palliative Care,24.8,28.4,24.8,31.9,24.8,24.8
Aberdeenshire,Ages45to64,Peripheral Arterial Disease (PAD),145.4,131.2,131.2,106.4,99.3,92.2
Aberdeenshire,Ages45to64,Rheumatoid Arthritis,283.6,273.0,297.8,308.4,290.7,237.5
Aberdeenshire,Ages45to64,Stroke and TIA,426.8,437.5,460.2,447.4,450.2,370.1
Aberdeenshire,Ages5to14,Asthma,1353.9,1263.8,1368.1,1239.0,1157.7,1048.1
Aberdeenshire,Ages5to14,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Cancer,17.7,17.7,17.7,8.8,0.0,0.0
Aberdeenshire,Ages5to14,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Dementia,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Depression,8.8,8.8,0.0,0.0,8.8,8.8
Aberdeenshire,Ages5to14,Diabetes,97.2,97.2,97.2,97.2,114.9,61.9
Aberdeenshire,Ages5to14,Eating Disorder,26.5,26.5,0.0,17.7,8.8,17.7
Aberdeenshire,Ages5to14,Epilepsy,167.9,176.8,194.4,176.8,185.6,159.1
Aberdeenshire,Ages5to14,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Hypertension,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Mental Health,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages5to14,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages65to74,Asthma,2144.3,2257.0,2402.1,2499.4,2448.2,2130.6
Aberdeenshire,Ages65to74,Atrial Fibrillation,1458.0,1476.8,1539.9,1514.3,1507.5,1292.4
Aberdeenshire,Ages65to74,Cancer,3207.9,3375.2,3566.4,3665.4,3718.4,3213.0
Aberdeenshire,Ages65to74,Chronic Kidney Disease (CKD),2217.7,2272.3,2132.3,2144.3,2050.4,1656.0
Aberdeenshire,Ages65to74,Chronic Obstructive Pulmonary Disease (COPD),1596.3,1642.4,1731.1,1698.7,1598.0,1382.9
Aberdeenshire,Ages65to74,Coronary Heart Disease (CHD),3086.7,3166.9,3267.7,3310.3,3259.1,2607.0
Aberdeenshire,Ages65to74,Dementia,187.8,179.3,196.3,213.4,230.5,204.9
Aberdeenshire,Ages65to74,Depression,1912.1,2036.7,2241.6,2386.7,2482.3,2183.6
Aberdeenshire,Ages65to74,Diabetes,3602.3,3824.2,4015.4,4059.8,4150.3,3605.7
Aberdeenshire,Ages65to74,Eating Disorder,25.6,25.6,42.7,68.3,59.8,42.7
Aberdeenshire,Ages65to74,Epilepsy,537.8,525.8,582.2,589.0,600.9,478.0
Aberdeenshire,Ages65to74,Heart Failure,662.4,669.2,700.0,693.1,720.5,554.9
Aberdeenshire,Ages65to74,Hypertension,11180.7,11462.4,11696.3,11838.0,11727.0,9977.1
Aberdeenshire,Ages65to74,Mental Health,256.1,281.7,290.2,315.8,315.8,298.8
Aberdeenshire,Ages65to74,Osteoporosis,239.0,254.4,256.1,259.5,239.0,112.7
Aberdeenshire,Ages65to74,Palliative Care,93.9,111.0,111.0,93.9,136.6,111.0
Aberdeenshire,Ages65to74,Peripheral Arterial Disease (PAD),681.2,667.5,693.1,619.7,609.5,478.0
Aberdeenshire,Ages65to74,Rheumatoid Arthritis,461.0,478.0,546.3,520.7,520.7,503.6
Aberdeenshire,Ages65to74,Stroke and TIA,1446.0,1469.9,1510.9,1599.7,1531.4,1307.7
Aberdeenshire,Ages75to84,Asthma,1838.2,1914.7,2004.5,2041.5,2099.6,2025.7
Aberdeenshire,Ages75to84,Atrial Fibrillation,2588.2,2923.6,3068.9,2992.3,3182.4,2833.8
Aberdeenshire,Ages75to84,Cancer,3824.2,4104.2,4328.6,4484.5,4878.0,4357.7
Aberdeenshire,Ages75to84,Chronic Kidney Disease (CKD),5107.8,5237.2,5102.5,4777.6,4867.4,4172.8
Aberdeenshire,Ages75to84,Chronic Obstructive Pulmonary Disease (COPD),1743.1,1906.8,1972.9,1920.0,2025.7,1814.4
Aberdeenshire,Ages75to84,Coronary Heart Disease (CHD),4949.3,5002.1,4912.3,4825.2,5097.2,4363.0
Aberdeenshire,Ages75to84,Dementia,1148.8,1222.8,1346.9,1212.2,1236.0,1014.2
Aberdeenshire,Ages75to84,Depression,1346.9,1415.6,1537.1,1616.3,1703.5,1492.2
Aberdeenshire,Ages75to84,Diabetes,3890.2,3945.7,4262.6,4413.2,4727.4,4302.2
Aberdeenshire,Ages75to84,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0
