Geography,Age_Group,Disease,Average_Prevalence,Max_Prevalence,2018,2019,2020,2021,2022,2023
Aberdeen City,Ages45to64,Epilepsy,590.55,603.4,561.8,587.8,599.7,603.4,600.5,590.1
Aberdeen City,Ages45to64,Heart Failure,172.78333333333333,204.4,159.8,144.9,163.5,167.2,204.4,196.9
Aberdeen City,Ages45to64,Hypertension,4888.983333333334,4970.1,4886.2,4925.5,4903.2,4794.0,4854.9,4970.1
Aberdeen City,Ages45to64,Mental Health,479.6833333333334,510.5,408.7,463.0,489.7,500.9,510.5,505.3
Aberdeen City,Ages45to64,Osteoporosis,9.266666666666667,14.9,14.9,11.1,11.1,11.1,3.7,3.7
Aberdeen City,Ages45to64,Palliative Care,22.3,26.0,18.6,22.3,22.3,18.6,26.0,26.0
Aberdeen City,Ages45to64,Peripheral Arterial Disease (PAD),178.35,193.2,189.5,193.2,185.8,170.9,170.9,159.8
Aberdeen City,Ages45to64,Rheumatoid Arthritis,233.48333333333335,252.7,249.0,252.7,226.7,234.1,219.2,219.2
Aberdeen City,Ages45to64,Stroke and TIA,491.9666666666667,512.8,468.9,486.8,486.8,510.5,512.8,486.0
Aberdeen City,Ages5to14,Asthma,1099.9833333333333,1254.6,1203.0,1153.3,1254.6,1021.8,989.8,977.4
Aberdeen City,Ages5to14,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Depression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Diabetes,63.68333333333333,88.9,62.2,88.9,71.1,71.1,44.4,44.4
Aberdeen City,Ages5to14,Eating Disorder,2.966666666666667,8.9,0.0,0.0,8.9,0.0,8.9,0.0
Aberdeen City,Ages5to14,Epilepsy,149.54999999999998,159.9,151.0,142.2,151.0,142.2,159.9,151.0
Aberdeen City,Ages5to14,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Hypertension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Mental Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages5to14,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages65to74,Asthma,2401.6,2615.7,2113.2,2271.3,2398.9,2532.6,2477.9,2615.7
Aberdeen City,Ages65to74,Atrial Fibrillation,1454.0333333333335,1552.0,1290.6,1377.7,1454.7,1547.9,1501.3,1552.0
Aberdeen City,Ages65to74,Cancer,3318.7333333333336,3509.2,2964.2,3154.6,3355.2,3478.8,3509.2,3450.4
Aberdeen City,Ages65to74,Chronic Kidney Disease (CKD),2093.633333333333,2184.1,2111.2,2184.1,2101.1,2129.4,1981.5,2054.5
Aberdeen City,Ages65to74,Chronic Obstructive Pulmonary Disease (COPD),2116.933333333333,2169.9,2054.5,2113.2,2149.7,2169.9,2117.3,2097.0
Aberdeen City,Ages65to74,Coronary Heart Disease (CHD),3291.7333333333336,3381.6,3272.1,3314.7,3312.7,3381.6,3272.1,3197.2
Aberdeen City,Ages65to74,Dementia,275.2333333333333,293.8,263.4,273.5,283.7,293.8,283.7,253.3
Aberdeen City,Ages65to74,Depression,2719.3500000000004,3051.3,2297.6,2494.1,2668.4,2860.8,2943.9,3051.3
Aberdeen City,Ages65to74,Diabetes,4302.766666666666,4572.9,3894.2,4046.1,4313.6,4493.9,4495.9,4572.9
Aberdeen City,Ages65to74,Eating Disorder,30.383333333333336,70.9,0.0,10.1,20.3,40.5,40.5,70.9
Aberdeen City,Ages65to74,Epilepsy,593.3000000000001,634.2,526.8,577.4,597.7,607.8,615.9,634.2
Aberdeen City,Ages65to74,Heart Failure,696.2833333333333,784.1,615.9,654.4,713.2,670.6,739.5,784.1
Aberdeen City,Ages65to74,Hypertension,11574.416666666666,11941.8,10989.5,11279.3,11660.2,11941.8,11854.7,11721.0
Aberdeen City,Ages65to74,Mental Health,410.2833333333333,445.7,395.1,364.7,395.1,425.5,435.6,445.7
Aberdeen City,Ages65to74,Osteoporosis,91.18333333333334,101.3,91.2,101.3,91.2,101.3,91.2,70.9
Aberdeen City,Ages65to74,Palliative Care,128.31666666666666,152.0,141.8,131.7,152.0,111.4,121.6,111.4
Aberdeen City,Ages65to74,Peripheral Arterial Disease (PAD),797.25,818.5,798.3,800.3,816.5,818.5,786.1,763.8
Aberdeen City,Ages65to74,Rheumatoid Arthritis,445.75,496.4,385.0,374.8,445.7,486.3,496.4,486.3
Aberdeen City,Ages65to74,Stroke and TIA,1745.8333333333333,1857.9,1596.6,1699.9,1728.3,1799.2,1793.1,1857.9
Aberdeen City,Ages75to84,Asthma,2204.416666666667,2360.1,2115.7,2199.4,2176.0,2102.3,2273.0,2360.1
Aberdeen City,Ages75to84,Atrial Fibrillation,3079.2333333333336,3270.6,2989.4,2996.1,3032.9,2959.3,3227.1,3270.6
Aberdeen City,Ages75to84,Cancer,4822.233333333334,5306.0,4465.7,4579.5,4720.1,4693.4,5168.7,5306.0
Aberdeen City,Ages75to84,Chronic Kidney Disease (CKD),5374.05,5707.7,5707.7,5597.2,5359.5,4974.6,5249.1,5356.2
Aberdeen City,Ages75to84,Chronic Obstructive Pulmonary Disease (COPD),2597.2000000000003,2688.1,2494.0,2648.0,2644.6,2524.1,2584.4,2688.1
Aberdeen City,Ages75to84,Coronary Heart Disease (CHD),5208.899999999999,5396.4,5356.2,5396.4,5168.7,4977.9,5178.8,5175.4
Aberdeen City,Ages75to84,Dementia,1637.5333333333335,1827.8,1827.8,1750.8,1720.7,1539.9,1479.6,1506.4
Aberdeen City,Ages75to84,Depression,2021.4166666666663,2353.4,1791.0,1807.7,1945.0,1975.1,2256.3,2353.4
Aberdeen City,Ages75to84,Diabetes,4889.75,5336.1,4623.1,4696.7,4847.3,4763.7,5071.6,5336.1
Aberdeen City,Ages75to84,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages75to84,Epilepsy,571.8833333333333,619.3,602.6,552.4,585.8,502.1,619.3,569.1
Aberdeen City,Ages75to84,Heart Failure,1333.4833333333333,1439.5,1262.1,1305.6,1302.2,1295.5,1396.0,1439.5
Aberdeen City,Ages75to84,Hypertension,14895.216666666667,15770.6,14568.8,14712.8,14642.5,14431.6,15245.0,15770.6
Aberdeen City,Ages75to84,Mental Health,309.6333333333333,351.5,318.0,284.5,301.3,284.5,318.0,351.5
Aberdeen City,Ages75to84,Osteoporosis,607.0166666666667,706.3,706.3,669.5,626.0,549.0,555.7,535.6
Aberdeen City,Ages75to84,Palliative Care,396.7166666666667,485.4,441.9,485.4,435.2,348.2,334.8,334.8
Aberdeen City,Ages75to84,Peripheral Arterial Disease (PAD),1244.2166666666665,1292.2,1292.2,1285.5,1191.8,1178.4,1252.0,1265.4
Aberdeen City,Ages75to84,Rheumatoid Arthritis,574.6666666666666,636.0,552.4,535.6,552.4,585.8,585.8,636.0
Aberdeen City,Ages75to84,Stroke and TIA,3035.75,3210.4,2982.7,2942.6,2979.4,2922.5,3176.9,3210.4
Aberdeen City,Ages85plus,Asthma,2003.8666666666668,2124.4,1853.2,2124.4,1943.6,2034.0,1988.8,2079.2
Aberdeen City,Ages85plus,Atrial Fibrillation,5812.7,6038.7,5424.0,5604.8,5957.3,5848.9,6002.5,6038.7
Aberdeen City,Ages85plus,Cancer,5943.766666666666,6318.9,5315.5,5731.3,6111.0,6020.6,6165.3,6318.9
Aberdeen City,Ages85plus,Chronic Kidney Disease (CKD),10239.266666666666,10432.1,10061.5,10350.8,10242.3,10070.5,10278.4,10432.1
Aberdeen City,Ages85plus,Chronic Obstructive Pulmonary Disease (COPD),2165.0666666666666,2513.1,1916.5,2278.1,1988.8,2178.6,2115.3,2513.1
Aberdeen City,Ages85plus,Coronary Heart Disease (CHD),8178.133333333332,8551.8,8063.6,8551.8,8362.0,8054.6,8063.6,7973.2
Aberdeen City,Ages85plus,Dementia,4962.933333333333,5261.3,4962.9,5261.3,5207.0,4447.7,4981.0,4917.7
Aberdeen City,Ages85plus,Depression,1702.5333333333335,1762.8,1717.6,1672.4,1627.2,1762.8,1717.6,1717.6
Aberdeen City,Ages85plus,Diabetes,4596.816666666667,5089.5,3932.4,4257.8,4483.8,4827.3,4990.1,5089.5
Aberdeen City,Ages85plus,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeen City,Ages85plus,Epilepsy,399.26666666666665,542.4,361.6,406.8,361.6,316.4,406.8,542.4
Aberdeen City,Ages85plus,Heart Failure,2651.7166666666667,2992.2,2196.7,2476.9,2594.5,2757.2,2992.2,2892.8
Aberdeen City,Ages85plus,Hypertension,18485.2,19237.0,17465.2,18396.3,18342.1,18613.3,18857.3,19237.0
Aberdeen City,Ages85plus,Mental Health,301.3333333333333,361.6,271.2,316.4,226.0,316.4,361.6,316.4
Aberdeen City,Ages85plus,Osteoporosis,1202.3,1383.1,1310.8,1383.1,1356.0,1139.0,1003.4,1021.5
Aberdeen City,Ages85plus,Palliative Care,1545.8333333333333,1808.0,1383.1,1563.9,1808.0,1582.0,1437.4,1500.6
Aberdeen City,Ages85plus,Peripheral Arterial Disease (PAD),1597.0666666666666,1744.7,1491.6,1744.7,1672.4,1582.0,1563.9,1527.8
Aberdeen City,Ages85plus,Rheumatoid Arthritis,459.5333333333333,587.6,406.8,497.2,406.8,452.0,406.8,587.6
Aberdeen City,Ages85plus,Stroke and TIA,5405.9,5650.0,5161.8,5396.9,5396.9,5324.5,5505.3,5650.0
Aberdeenshire,Ages0to4,Asthma,188.75,295.4,295.4,270.8,221.6,147.7,123.1,73.9
Aberdeenshire,Ages0to4,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Depression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Diabetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Eating Disorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Epilepsy,32.81666666666667,73.9,24.6,73.9,24.6,49.2,24.6,0.0
Aberdeenshire,Ages0to4,Heart Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Hypertension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Mental Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages0to4,Stroke and TIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Asthma,1625.7166666666665,1755.8,1725.7,1651.5,1755.8,1749.8,1515.0,1356.5
Aberdeenshire,Ages15to24,Atrial Fibrillation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Cancer,15.050000000000002,30.1,10.0,10.0,0.0,20.1,20.1,30.1
Aberdeenshire,Ages15to24,Chronic Kidney Disease (CKD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Chronic Obstructive Pulmonary Disease (COPD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Coronary Heart Disease (CHD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Depression,1006.0166666666665,1109.7,1043.5,1043.5,1109.7,1059.5,1087.6,692.3
Aberdeenshire,Ages15to24,Diabetes,215.70000000000002,250.8,160.5,210.7,240.8,250.8,220.7,210.7
Aberdeenshire,Ages15to24,Eating Disorder,232.43333333333328,270.9,220.7,180.6,240.8,240.8,270.9,240.8
Aberdeenshire,Ages15to24,Epilepsy,334.43333333333334,371.2,371.2,321.1,311.0,311.0,361.2,331.1
Aberdeenshire,Ages15to24,Heart Failure,1.6666666666666667,10.0,10.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Hypertension,8.333333333333334,10.0,10.0,10.0,10.0,10.0,10.0,0.0
Aberdeenshire,Ages15to24,Mental Health,43.5,50.2,20.1,40.1,50.2,50.2,50.2,50.2
Aberdeenshire,Ages15to24,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Palliative Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages15to24,Stroke and TIA,3.3333333333333335,10.0,0.0,0.0,0.0,0.0,10.0,10.0
Aberdeenshire,Ages25to44,Asthma,2292.65,2508.1,2315.5,2312.1,2508.1,2400.7,2299.3,1920.2
Aberdeenshire,Ages25to44,Atrial Fibrillation,18.46666666666667,25.6,4.3,17.0,25.6,21.3,25.6,17.0
Aberdeenshire,Ages25to44,Cancer,265.5333333333333,285.4,285.4,285.4,276.9,268.4,272.6,204.5
Aberdeenshire,Ages25to44,Chronic Kidney Disease (CKD),24.133333333333336,34.1,34.1,21.3,29.8,21.3,29.8,8.5
Aberdeenshire,Ages25to44,Chronic Obstructive Pulmonary Disease (COPD),12.766666666666666,17.0,0.0,17.0,17.0,12.8,17.0,12.8
Aberdeenshire,Ages25to44,Coronary Heart Disease (CHD),19.883333333333333,29.8,8.5,12.8,25.6,21.3,29.8,21.3
Aberdeenshire,Ages25to44,Dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages25to44,Depression,2890.8333333333335,3072.0,2848.8,2928.0,2992.8,3072.0,3069.5,2433.9
Aberdeenshire,Ages25to44,Diabetes,481.76666666666665,512.9,473.7,454.9,512.0,489.0,512.9,448.1
Aberdeenshire,Ages25to44,Eating Disorder,345.29999999999995,369.7,369.7,357.8,353.5,335.7,354.4,300.7
Aberdeenshire,Ages25to44,Epilepsy,472.25,492.4,481.3,492.4,473.7,483.9,490.7,411.5
Aberdeenshire,Ages25to44,Heart Failure,9.933333333333332,17.0,8.5,8.5,17.0,12.8,12.8,0.0
Aberdeenshire,Ages25to44,Hypertension,567.2333333333333,596.3,596.3,561.4,578.5,552.9,591.2,523.1
Aberdeenshire,Ages25to44,Mental Health,223.20000000000002,251.3,200.2,217.2,225.8,251.3,231.7,213.0
Aberdeenshire,Ages25to44,Osteoporosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages25to44,Palliative Care,1.4333333333333333,4.3,0.0,0.0,0.0,4.3,4.3,0.0
Aberdeenshire,Ages25to44,Peripheral Arterial Disease (PAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aberdeenshire,Ages25to44,Rheumatoid Arthritis,46.866666666666674,51.1,51.1,51.1,42.6,46.9,46.9,42.6
Aberdeenshire,Ages25to44,Stroke and TIA,41.18333333333333,51.1,42.6,34.1,42.6,34.1,51.1,42.6
Aberdeenshire,Ages45to64,Asthma,2481.9666666666662,2629.8,2363.2,2417.1,2583.0,2604.3,2629.8,2294.4
Aberdeenshire,Ages45to64,Atrial Fibrillation,305.4833333333333,320.5,290.7,308.4,320.5,307.0,319.1,287.2
Aberdeenshire,Ages45to64,Cancer,1306.3999999999999,1359.9,1301.8,1331.6,1359.9,1329.4,1342.2,1173.5
Aberdeenshire,Ages45to64,Chronic Kidney Disease (CKD),372.84999999999997,429.0,386.4,429.0,375.1,375.1,366.6,304.9
Aberdeenshire,Ages45to64,Chronic Obstructive Pulmonary Disease (COPD),461.1333333333334,484.3,476.5,484.3,483.6,468.7,460.9,392.8
Aberdeenshire,Ages45to64,Coronary Heart Disease (CHD),908.5166666666668,941.6,933.8,933.1,940.9,902.6,941.6,799.1
Aberdeenshire,Ages45to64,Dementia,11.799999999999999,21.3,3.5,17.7,21.3,14.2,10.6,3.5
Aberdeenshire,Ages45to64,Depression,3061.7333333333336,3321.8,2924.8,3054.5,3139.6,3229.0,3321.8,2700.7
Aberdeenshire,Ages45to64,Diabetes,1919.9666666666665,2027.9,1872.6,1902.4,1969.7,1971.1,2027.9,1776.1
Aberdeenshire,Ages45to64,Eating Disorder,252.41666666666666,291.4,212.0,241.1,251.7,273.7,291.4,244.6
Aberdeenshire,Ages45to64,Epilepsy,532.2333333333333,551.6,541.7,538.9,550.2,544.5,551.6,466.5
Aberdeenshire,Ages45to64,Heart Failure,170.78333333333333,184.4,180.8,184.4,173.7,170.2,177.3,138.3
Aberdeenshire,Ages45to64,Hypertension,4889.916666666667,5129.2,5032.8,5056.9,5129.2,4956.2,4931.4,4233.0
Aberdeenshire,Ages45to64,Mental Health,323.54999999999995,347.4,305.6,329.0,321.2,347.4,346.0,292.1
Aberdeenshire,Ages45to64,Osteoporosis,24.25,35.5,28.4,35.5,28.4,21.3,21.3,10.6
Aberdeenshire,Ages45to64,Palliative Care,26.58333333333334,31.9,24.8,28.4,24.8,31.9,24.8,24.8
Aberdeenshire,Ages45to64,Peripheral Arterial Disease (PAD),117.61666666666667,145.4,145.4,131.2,131.2,106.4,99.3,92.2
Aberdeenshire,Ages45to64,Rheumatoid Arthritis,281.83333333333337,308.4,283.6,273.0,297.8,308.4,290.7,237.5
Aberdeenshire,Ages45to64,Stroke and TIA,432.0333333333333,460.2,426.8,437.5,460.2,447.4,450.2,370.1
